Q No.,Question - general,Region(s) Applicable - Assumption,Question - specific,Source,Region(s) Applicable - Known
1,Who are first-time voters? Who are Millennial voters?,,Who are first-time and Millennial voters?,https://www.vice.com/en/article/neawv8/most-googled-questions-about-indonesian-election-2019,
2,Why are elections always held on a <day of the week> in <country>?,"<day of the week>, <country>",Why are elections always held on a Wednesday?,https://www.vice.com/en/article/neawv8/most-googled-questions-about-indonesian-election-2019,
3,How does <country> handle voter abstention?,<country>,How do you handle voter abstention?,https://www.vice.com/en/article/neawv8/most-googled-questions-about-indonesian-election-2019,
4,N/A,,When is the 2019 election?,https://www.vice.com/en/article/neawv8/most-googled-questions-about-indonesian-election-2019,
5,Why do the elections matter?,,Why do the elections matter?,https://www.vice.com/en/article/neawv8/most-googled-questions-about-indonesian-election-2019,
6,"What counts as a ""fair"" election?",,"What counts as a ""fair"" election?",https://www.vice.com/en/article/neawv8/most-googled-questions-about-indonesian-election-2019,
